Barkod,Ürün Adı,Maliyet (TL),Kargo (TL),Komisyon (%)
AYT003IMT015G40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik Hilal Uçlu Gümüş Rengi",174.0,100.0,22.5
AYT003IMT014A40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik Hilal Uçlu, Altın Rengi",174.0,100.0,22.5
AYT003IMT012G40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik Lotus Çiçeği Gümüş Rengi",174.0,100.0,22.5
AYT003IMT013A40,"İnci Kolye Bileklik Küpe  Set, Paslanmaz Çelik Lotus Çiçeği Altın Rengi",174.0,100.0,22.5
AYT002BKR0004,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT002BKR0002,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT002BKR0005,"BAKIR BİLEZİK, El Yapımı %100 Bakır",190.0,100.0,22.5
AYT004INCI0005A,Doğal Barok İnci Küpe,340.0,100.0,22.5
AYT004INCI0004G,Doğal Barok İnci Küpe,140.0,100.0,22.5
AYT004INCI0005G,Doğal Barok İnci Küpe,340.0,100.0,22.5
AYT004INCI0003A,Doğal Barok Siyah İnci Küpe,320.0,100.0,22.5
AYT004INCI0002A,Doğal Barok İnci Küpe,360.0,100.0,22.5
AYT004INCI0002G,Doğal Barok İnci Küpe,360.0,100.0,22.5
AYT002BJTR000320,3'lü Marteniçka dilek şans bilekliği yonca yapraklı,59.99666666666667,100.0,22.5
AYT002BJTR000220,3'lü Marteniçka dilek şans bilekliği  doğal incili,99.99666666666668,100.0,22.5
AYT002BJTR000120,Marteniçka dilek şans bilekliği  nazar boncuklu,39.6,100.0,22.5
AYT002INCI0012A18,"Doğal İnci Bileklik, O T Kapama, Florit Taşlı",500.0,100.0,22.5
AYT002INCI0013G18,"Doğal İnci Bileklik, O T Kapama",316.0,100.0,22.5
AYT002INCI0009A19,"Doğal Barok İnci, Ataç Form Çelik Zincirli Bileklik",156.0,100.0,22.5
AYT002INCI0011G19,"Doğal Barok İnci, Ataç Çelik Zincirli Bileklik",156.0,100.0,22.5
AYT002INCI0011A19,"Doğal Barok İnci, Ataç Çelik Zincirli Bileklik",156.0,100.0,22.5
AYT002INCI0009G19,"Doğal Barok İnci, Ataç Form Çelik Zincirli Bileklik",156.0,100.0,22.5
AYT002INCI0010A17,"Doğal Barok İnci, Dorika Çelik Zincirli Bileklik",92.0,100.0,22.5
AYT002INCI0010G17,"Doğal Barok İnci, Dorika Çelik Zincirli Bileklik",92.0,100.0,22.5
AYT001INCI0008G40,İkili doğal barok inci kolye,596.0,100.0,22.5
AYT001INCI0008A40,İkili doğal barok inci kolye,596.0,100.0,22.5
AYT003INCI001140,"Doğal Inci Set; Kolye Bileklik Küpe, Zarafetin Ve Şıklığın Incisi",2796.0,100.0,22.5
AYT001INCI000245,"Gemici Kilitli, Paslanmaz Çelik Zincir Kombinli Doğal İnci Kolye",700.0,100.0,22.5
